nama,alamat,latitude,longitude
YSN (STO YOSOWILANGUN),,,
BEJ (STO BEJI),,,
DLA (STO DLANGGU),,,
GDA (STO GEDANGAN),,,
GEM (STO GEMPOL),,,
JOM (STO JOMBANG),,,
JKL (STO JATIKALEN),,,
KRN (STO KRIAN),,,
MIP (STO MLIRIP),,,
MJS (STO MOJOSARI),,,
MOJ (STO MOJOAGUNG),,,
MRT (STO MOJOKERTO),,,
NGI (STO NGOROINDUSTRI),,,
NRJ (STO NGOROJOMBANG),,,
PCT (STO PACET),,,
PDA (STO PANDAAN),,,
PGE (STO PRIGEN),,,
POS (STO PLOSO),,,
PWS (STO PURWOSARI),,,
SDA (STO SIDOARJO),,,
SDN (STO SUKODONO),,,
SPJ (STO SEPANJANG),,,
TUN (STO TULANGAN),,,
BBA (STO BABAD),,,
BBE (STO BAMBE),,,
BDG (STO BRONDONG),,,
BPG (STO BALONGPANGGANG),,,
BWN (STO BAWEAN),,,
CRM (STO CERME),,,
DDS (STO DUDUK SAMPEYAN),,,
GSK (STO GRESIK),,,
KBL (STO KEBALEN),,,
KDE (STO KEDAMEAN),,,
KJR (STO KENJERAN),,,
KLN (STO KALIANAK),,,
KNN (STO KANDANGAN),,,
KPS (STO KAPASAN),,,
KRP (STO KARANGPILANG),,,
LKI (STO LAKARSANTRI),,,
LMG (STO LAMONGAN),,,
MGO (STO MERGOYOSO),,,
POG (STO GRESIK-2 (PONGANGAN)),,,
PRK (STO TANJUNG PERAK),,,
SDD (STO SUKODADI),,,
SDY (STO SEDAYU),,,
TNS (STO TANDES),,,
DMO (STO DARMO),,,
GBG (STO GUBENG),,,
IJK (STO INJOKO),,,
JGR (STO JAGIR),,,
MYR (STO MANYAR),,,
RKT (STO RUNGKUT),,,
TPO (STO WARU II TROPODO),,,
ABT (STO AMBUNTEN),,,
AJA (STO ARJASA KANGEAN),,,
BAB (STO BATANGATANG),,,
BEA (STO BLEGA),,,
BKL (STO BANGKALAN),,,
KML (STO KAMAL),,,
KPP (STO KETAPANG),,,
MSL (STO MASALEMBU),,,
OMB (STO OMBEN),,,
PME (STO PAMEKASAN),,,
PRG (STO PERAGAAN),,,
SMP (STO SUMENEP),,,
SPD (STO GAYAM / SAPUDI),,,
SPG (STO SAMPANG),,,
SPK (STO SAPEKAN),,,
TBU (STO TANJUNGUMI),,,
WRP (STO WARU PAMEKASAN),,,
WRU (STO WARU),,,
ABL (STO AMBULU),,,
AJS (STO ARJASA),,,
ASB (STO ASEMBAGUS),,,
BLG (STO BALUNG),,,
BCK (STO BENCULUK),,,
BSK (STO BESUKI),,,
BOW (STO BONDOWOSO),,,
BWG (STO BANYUWANGI),,,
GEN (STO GENTENG),,,
GLM (STO GLENMORE),,,
JGW (STO JENGGAWAH),,,
JER (STO JEMBER),,,
KBS (STO KEBONSARI),,,
KBR (STO KALIBARU),,,
KNO (STO KENCONG),,,
KET (STO KETAPANG),,,
KLT (STO KALISAT),,,
MCR (STO MUNCAR),,,
MLD (STO MLANDINGAN),,,
PUG (STO PUGER),,,
PRJ (STO PRAJEKAN),,,
PSG (STO PESANGGARAN),,,
RBP (STO RAMBIPUJI),,,
RGJ (STO ROGOJAMPI),,,
SIT (STO SITUBONDO),,,
SKS (STO SUKOSARI),,,
SKW (STO SUKOWONO),,,
SPO (STO SEMPOLAN),,,
TGU (STO TANGGUL),,,
WSO (STO WONGSOREJO),,,
BNO (STO BENOA),,,
JBR (STO JIMBARAN),,,
KLM (STO KALIASEM),,,
KUT (STO KUTA),,,
MMN (STO MONANGMANING),,,
NDA (STO NUSADUA),,,
SAU (STO SANUR),,,
SKW (STO SUKAWATI),,,
SMY (STO SEMINYAK),,,
TBN (STO TABANAN),,,
TOP (STO TOHPATI),,,
UBN (STO UBUNG),,,
UBU (STO UBUD),,,
APR (STO AMLAPURA),,,
CDS (STO CANDIDASA),,,
BTR (STO BATURUTI),,,
TPS (STO TAMPAKSIRING),,,
UBU (STO UBUD),,,
GIN (STO GIANYAR),,,
BLI (STO BANGLI),,,
KLK (STO KLUNGKUNG),,,
KNT (STO KINTAMANI),,,
GMK (STO GILIMANUK),,,
NGR (STO NEGARA),,,
LVN (STO LOVINA),,,
PUA (STO PUPUAN),,,
SGR (STO SINGARAJA),,,
SRR (STO SERIRIT),,,
TBN (STO TABANAN),,,
ALA (STO ALAS),,,
MLK (STO MALUK),,,
TLW (STO TALIWANG),,,
BIM (STO BIMA),,,
SAP (STO SAPE),,,
SIL (STO SILA),,,
TET (STO TENTE),,,
DMP (STO DOMPU),,,
EMP (STO EMPANG),,,
KMP (STO KEMPO),,,
DRN (STO DORONAE),,,
GER (STO GERUNG),,,
MTR (STO MATARAM),,,
PRY (STO PRAYA),,,
SGG (STO SENGGIGI),,,
SWE (STO SWETA),,,
SBW (STO SUMBAWA BESAR),,,
MBG (STO MASBAGIK),,,
SEL (STO SELONG),,,
ATB (STO ATAMBUA),,,
BJW (STO BAJAWA),,,
END (STO ENDE),,,
WWR (STO WOLOWARU),,,
KLH (STO KALABAHI),,,
BAA (STO BAA),,,
KPN (STO KUPANG),,,
OSP (STO OESAPA),,,
SEB (STO SEBA),,,
TNA (STO TENAU),,,
LRT (STO LARANTUKA),,,
LWB (STO LEWOLEBA),,,
MMR (STO MAUMERE),,,
LBO (STO LABUHANBAJO),,,
REO (STO REO),,,
RTE (STO RUTENG),,,
KEF (STO KEFAMENANU),,,
NKN (STO NIKI NIKI),,,
SOE (STO SOE),,,
TTN (STO TENTENA),,,
WGP (STO WAINGAPU),,,
WKB (STO WAIKABUBAK),,,
BDR (STO BANDAR),,,
ARB (STO AROSBAYA),,,
TAW (STO TANJUNG AWAR AWAR),,,
