nama,starclick_profile
MGR CEM OPERATION,Invalid Survey SCBE|MYWIFI - Inputer|SC Backend - Inputer|SCFE Inputer - DCS
MGR CFU/FU IT SUPPORT,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
MGR CUSTOMER MGT SYSTEM OPERATION,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
"MGR ENTERPRISE, OLO & WIFI DEPLOYMENT",Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SCFE Inputer - DCS|User Revoke
MGR FBB ACCESS & SERVICE OPERATION,Approval Order SCBE|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Management|SC Frontend - Viewer|SCFE Inputer - DCS|Supervisor|Tools|User Revoke
MGR FBB ASSURANCE SUPERVISION,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
MGR FBB FULFILLLMENT SUPERVISION,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools|User Revoke
MGR FBB FULFILLMENT SUPERVISION,Cancel massal|Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Supervisor|SCFE Inputer - DCS|Tools|update for resubmit|User Revoke
MGR FULFILLMENT OPERATION MANAGEMENT,Create and list opportunity|Invalid Survey SCBE|Mass Order|SC Backend - Inputer|SC Frontend - Management|SCFE Inputer - DCS
MGR FULFILLMENT PERFORMANCE MANAGEMENT,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
MGR GENERAL SUPPORT,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Management|SCFE Inputer - DCS|Supervisor
Mgr Home Service Witel Jakbar,Approval Order SCBE|Crl Task|Dashboard Report Agent|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Management|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
MGR KONSTRUKSI YOGYAKARTA,SC Frontend - Viewer
MGR LEGAL & REGULATORY AFFAIR,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
MGR LOGISTIC & PROCUREMENT,Approval Order SCBE|Dashboard Report Agent|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE - Input Service Request All|SCFE Inputer - DCS
MGR NETWORK AREA & IS OPERATION,Approval Order SCBE|Cancel massal|Create and list opportunity|Invalid Survey SCBE|MYWIFI - Inputer|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE Inputer - DCS|Supervisor|Tools|User Revoke
MGR NETWORK DEPLOY & PROJECT SUPERVISION,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
MGR NTE & NE OM,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
MGR ORDER & COMPLEX EVENT PROCESSING,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|User Revoke
MGR ORDER MANAGEMENT OPERATION,SCFE Inputer - DCS
MGR OSP & CAPEX QE,report plasa organik|SC Frontend - Backroom|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
MGR PARTNER INVOICING & SDA SUPPORT,Approval Order SCBE|Dashboard Report Agent|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Supervisor|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools
"MGR PERFOR,SERVICE QUALITY&HELPDESK OPER",SC Frontend - Viewer|User Revoke
"MGR PERFORM,SERV QUALITY&HELPDESK OPERAT",Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
MGR PERFORMANCE & QUALITY MGT OPERATION,SCFE Inputer - DCS
"MGR PERFORMANCE, RISK & QOS",Approval Order SCBE|Create and list opportunity|Crl Task|Dashboard Report Agent|Invalid Survey SCBE|MYWIFI - Inputer|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Management|SC Frontend - Senior Leader|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Supervisor|Tools|User Revoke|User Revoke EBIS
"MGR PERFORMANCE, RISK&QOS",Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
"MGR PLANNING,ENGINEERING&CAPEX MGMT",SCFE Inputer - DCS
